,Tên,Đánh giá,Vị trí,Chất lượng,Phục vụ,Không gian,Lượt đánh giá,Giá cả,Mở cửa,Vị trí chi tiết,Vị trí khu vực,Ở gần,Chỉ đường,Website,Sức chứa,Giờ nhận khách cuối,Thể loại,Thích hợp,CUISINES,Thời gian chuẩn bị,PURPOSES,Phục vụ các món,Nghỉ lễ,Năm thành lập
36,Lotteria - Đường Số 7,5.7,6.5,5.8,5.1,4.8,8,"30,000đ - 110,000đ",08:00 - 22:00,"Đường Số 7, P. Bình Trị Đông B , Quận Bình Tân , TP. HCM",Bình Trị Đông,Nhà thờ Thánh Phao Lô,Nhà hàng nằm ngay ngã 4 đường Vành Đai Trong - Đường Số 7,www.lotteria.vn,100 người lớn,09:30 PM,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối","Miền Đông, Món Miền Nam",Khoảng 5 - 10 phút,"Ăn gia đình, Hẹn hò, Họp nhóm","Gà rán, Cơm",Các ngày lễ trong năm,
37,Lotteria - Bình Long,6.4,7.0,6.2,6.2,6.1,21,"30,000đ - 88,000đ",08:30 - 22:00,"Góc đường Bình Long - Thoại Ngọc Hầu, P. Phú Thạnh , Quận Tân Phú , TP. HCM",,Ngã tư bốn xã,Nằm ngay góc giao nhau ở đường Bình Long và Thoại Ngọc Hầu,www.lotteria.vn,100 người lớn,09:30 PM,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối",Món Việt,Khoảng 5 - 10 phút,"Đãi tiệc, Ăn gia đình, Hẹn hò, Họp nhóm","Thịt Gà, Gà rán, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,
38,Lotteria - Aeon Mall Celadon,6.2,7.0,6.3,6.2,5.2,77,"18,000đ - 310,000đ",10:00 - 22:00,"Tầng 2, Tầng 2 AEON Mall Tân Phú, 30 Bờ Bao Tân Thắng, P. Sơn Kỳ , Quận Tân Phú , TP. HCM",AEON Mall Shopping Center,AEON Mall,Tầng Trệt AEON Mall,,50 người lớn,10:00 PM,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối",Món Âu,Khoảng 5 - 10 phút,"Ăn gia đình, Hẹn hò, Họp nhóm","Thịt Gà, Gà rán, Hamburger, Ăn vặt - Ăn nhẹ, Cơm, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,
39,Lotteria - Hoàng Sa,5.3,6.0,5.3,5.1,4.2,21,"30,000đ - 110,000đ",09:00 - 22:00,"158-160 Lê Bình, P. 4 , Quận Tân Bình , TP. HCM",Ngã 4 Bảy Hiền,Lê Bình - Út Tịch nối dài,"Nằm trên đường Lê Bình, cuối bờ kè kênh Nhiêu Lộc",,50 người lớn,09:30 PM,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối",,Khoảng 10 - 15 phút,"Ăn gia đình, Hẹn hò, Họp nhóm","Thịt Gà, Gà rán, Hamburger, Cơm, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,
40,Lotteria - Hồng Bàng,5.3,6.2,5.3,5.2,4.0,30,"30,000đ - 80,000đ",08:30 - 23:00,"801 Hồng Bàng, P. 9 , Quận 6 , TP. HCM",Cây Gõ,Ngã tư Cây Gõ - Cầu vượt thép Cây Gõ,Nằm ngay góc đường Hồng Bàng - Minh Phụng,,70 người lớn,10:30 PM,Nhà hàng,"Buổi trưa, Buổi xế, Buổi tối, Buổi khuya",Món Âu,Khoảng 10 - 15 phút,"Ăn gia đình, Hẹn hò, Họp nhóm, Ăn Fastfood","Thịt Gà, Gà rán, Hamburger",Các ngày lễ trong năm,
41,Lotteria - Lý Chính Thắng,5.5,6.3,5.8,5.3,4.4,44,"30,000đ - 80,000đ",08:00 - 22:00,"250B Lý Chính Thắng, P. 9 , Quận 3 , TP. HCM",Công Trường Dân Chủ 3/2 - CMT8,,,,60 người lớn,09:30 PM,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối",Món Âu,Khoảng 5 - 25 phút,"Hẹn hò, Họp nhóm, Ăn vặt, Ăn Fastfood","Thịt Gà, Gà rán, Hamburger, Ăn vặt - Ăn nhẹ, Cơm, Xúc xích, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,
42,Lotteria - Tân Thuận,7.4,8.1,7.6,6.9,6.4,9,"30,000đ - 150,000đ",08:00 - 22:00,"336 Huỳnh Tấn Phát , Quận 7 , TP. HCM",Tân Thuận,Nguyễn Văn Linh,Gần ngã ba Tân Thuận Tây - Huỳnh Tấn Phát,,50 người lớn,09:30 PM,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối","Món Á, Món Hàn",Khoảng 7 - 15 phút,"Đãi tiệc, Ăn gia đình, Hẹn hò, Họp nhóm, Giao tận nơi, Takeaway - Mang về, Đọc sách - học bài, Ăn Fastfood","Thịt Gà, Ăn vặt - Ăn nhẹ, Thức uống, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,
43,Lotteria - Nowzone Nguyễn Văn Cừ,6.7,7.4,6.8,6.4,6.2,66,"18,000đ - 310,000đ",07:00 - 23:00,"Nowzone, 235 Nguyễn Văn Cừ, P. Nguyễn Cư Trinh , Quận 1 , TP. HCM",Nowzone - Nguyễn Văn Cừ,Nowzone,Từ vòng xoay ngã 6 Cộng Hòa chạy thẳng Nguyễn Văn Cừ khoảng 20m nhìn bên tay trái là gặp,,50 người lớn,09:30 PM,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối","Món Á, Món Hàn",Khoảng 5 - 10 phút,,"Thịt Gà, Gà rán",Các ngày lễ trong năm,
44,Lotteria - Nguyễn Kiệm,6.7,7.6,6.5,6.5,5.6,37,"20,000đ - 300,000đ","Cả ngày
08:30 - 22:00","679 Nguyễn Kiệm, P. 3 , Quận Gò Vấp , TP. HCM",Ngã 6 Gò Vấp,Big C Gò Vấp,Quán nằm gần ngã 6 Gò Vấp,,80 người lớn,09:30 PM,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối","Món Á, Món Hàn",Khoảng 5 - 10 phút,"Ăn gia đình, Họp nhóm, Giao tận nơi, Ăn vặt, Takeaway - Mang về, Nghe nhạc, Đọc sách - học bài, Ăn Fastfood","Thịt Gà, Gà rán",Các ngày lễ trong năm,
45,Lotteria - Ngô Gia Tự,6.1,6.9,6.2,5.7,5.4,48,"3,000đ - 50,000đ",08:00 - 22:00,"2 Ngô Gia Tự, P. 9 , Quận 10 , TP. HCM",Ngã Bảy Lý Thái Tổ,Ngã Bảy Lý Thái Tổ,Nhà hàng nằm trên đường Ngô Gia Tự gần vòng xoay Lý Thái Tổ,,200 người lớn,09:30 PM,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối","Món Á, Món Hàn",Khoảng 5 - 10 phút,"Đãi tiệc, Ăn gia đình, Hẹn hò, Họp nhóm, Giao tận nơi, Takeaway - Mang về, Ăn Fastfood","Thịt Gà, Gà rán",Không nghỉ lễ,
46,Lotteria - Hậu Giang,6.7,7.1,6.9,6.7,5.7,22,"10,000đ - 150,000đ",09:00 - 22:00,"52 Hậu Giang, P. 6 , Quận 6 , TP. HCM",Cây Gõ,Chợ Cây Gõ,Gần ngã 4 Mai Xuân Thưởng - Hậu Giang,www.lotteria.vn,100 người lớn,09:30 PM,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối","Món Á, Món Hàn",Khoảng 5 - 10 phút,"Đãi tiệc, Ăn gia đình, Hẹn hò, Họp nhóm, Giao tận nơi, Takeaway - Mang về, Ăn Fastfood","Thịt Gà, Gà rán",Các ngày lễ trong năm,
47,Lotteria - Lottemart Tân Bình,6.3,7.3,6.5,5.7,5.7,42,"180,000đ - 3,100,000đ",08:00 - 22:00,"Lotte Mart Cộng Hòa, 20 Cộng Hòa , P. 12 , Quận Tân Bình , TP. HCM",Lăng Cha Cả,Maximark,Từ Hoàng Văn Thụ rẽ vào Cộng Hòa khoảng 200m,www.lotteria.vn,50 người lớn,09:30 PM,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối",Món Việt,Khoảng 10 - 15 phút,"Đãi tiệc, Ăn gia đình, Hẹn hò, Họp nhóm, Giao tận nơi, Takeaway - Mang về, Ăn Fastfood","Thịt Gà, Gà rán, Hamburger, Ăn vặt - Ăn nhẹ, Cơm, Nem, Cá/bò viên, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,
48,Lotteria - Độc Lập,5.5,6.2,5.5,5.0,4.7,26,"10,000đ - 80,000đ",08:00 - 23:00,"175 Độc Lập, P. Tân Quý , Quận Tân Phú , TP. HCM",Tân Quý,Chợ Tân Phú,,,70 người lớn,10:30 PM,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối","Món Á, Món Hàn",Khoảng 10 - 20 phút,"Đãi tiệc, Ăn gia đình, Hẹn hò, Họp nhóm, Tiếp khách, Giao tận nơi, Ăn vặt, Takeaway - Mang về, Nghe nhạc, Đọc sách - học bài, Ăn Fastfood","Thịt Gà, Gà rán, Hamburger, Thịt Bò, Ăn vặt - Ăn nhẹ, Cơm, Nem, Cá/bò viên, Thức uống, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,
49,Lotteria - Lê Văn Việt,5.3,5.8,5.4,5.3,4.8,18,"30,000đ - 77,000đ",07:00 - 23:00,"68 Lê Văn Việt, P. Hiệp Phú , Tp. Thủ Đức , TP. HCM",Lê Văn Việt,Vincom Lê Văn Việt,Cách ngã 4 Thủ Đức khoảng 500m.,,100 người lớn,10:30 PM,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối","Món Á, Món Hàn",Khoảng 5 - 10 phút,"Ăn gia đình, Họp nhóm, Ăn vặt, Takeaway - Mang về, Ăn Fastfood","Thịt Gà, Gà rán, Cơm Chiên, Hamburger, Bún, Mì, Cơm, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,
50,Lotteria - Võ Văn Ngân,5.9,6.8,5.7,5.4,5.3,25,"30,000đ - 77,000đ",07:00 - 23:00,"10 Võ Văn Ngân, P.Trường Thọ , Tp. Thủ Đức , TP. HCM",Chợ Thủ Đức,Ngã ba Đoàn Công Hớn - Võ Văn Ngân,Ở ngay ngã ba Đoàn Công Hớn - Võ Văn Ngân,,100 người lớn,10:30 PM,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối","Món Á, Món Hàn",Khoảng 5 - 10 phút,"Đãi tiệc, Ăn gia đình, Hẹn hò, Họp nhóm, Giao tận nơi, Ăn Fastfood","Thịt Gà, Gà rán, Hamburger, Thịt Bò, Ăn vặt - Ăn nhẹ, Nem, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,
51,Lotteria - Đỗ Xuân Hợp,6.9,7.8,6.6,6.5,6.3,14,"30,000đ - 150,000đ",07:30 - 22:00,"286 Đỗ Xuân Hợp, P. Phước Long A , Tp. Thủ Đức , TP. HCM",Phước Long B,Chợ Phước Long B,Ngay gần chợ Phước Long B,,30 người lớn,09:30 PM,Quán ăn,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối",Món Việt,Khoảng 10 - 20 phút,"Ăn gia đình, Ăn vặt","Thịt Gà, Gà rán, Pizza & Pasta, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,
52,Lotteria - Lý Thái Tổ,4.7,5.0,4.6,4.4,4.4,7,"40,000đ - 180,000đ",07:00 - 23:00,"145 Lý Thái Tổ, P. 9 , Quận 10 , TP. HCM",Ngã Bảy Lý Thái Tổ,Trường Đại Học Văn Hiến,Ngay Vòng Xoay Ngã Bảy Lý Thái Tổ.,www.lotteria.vn,30 người lớn,10:30 PM,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối","Món Á, Món Hàn",Khoảng 7 - 10 phút,"Đãi tiệc, Ăn gia đình, Họp nhóm, Ăn Fastfood",Fastfood - Thức ăn nhanh,Các ngày lễ trong năm,
53,Lotteria - Lottemart Gò Vấp,5.1,5.7,5.1,4.6,4.3,21,"30,000đ - 88,000đ",08:30 - 22:00,"Tầng Trệt, Tầng Trệt Lotte Mart Gò Vấp, 242 Nguyễn Văn Lượng, P. 10 , Quận Gò Vấp , TP. HCM",Nguyễn Oanh,Lotte Mart Gò Vấp,Tầng trệt Lotte Mart Gò Vấp,www.lotteria.vn,50 người lớn,09:30 AM,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối","Món Á, Món Hàn",Khoảng 2 - 5 phút,"Ăn gia đình, Hẹn hò, Họp nhóm, Giao tận nơi, Ăn Fastfood","Thịt Gà, Gà rán, Hamburger, Ăn vặt - Ăn nhẹ, Cơm, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,
54,Lotteria - AEON Mall Bình Tân,6.4,7.0,6.8,5.9,5.2,18,"50,000đ - 200,000đ",10:00 - 22:00,"Tầng 3 Aeon Mall Bình Tân, 1 Đường Số 17A, P. Bình Trị Đông , Quận Bình Tân , TP. HCM",Bình Trị Đông,,,www.lotteria.vn,30 người lớn,09:30 PM,Nhà hàng,"Buổi trưa, Buổi xế, Buổi tối","Món Á, Món Hàn",Khoảng 7 - 10 phút,"Đãi tiệc, Ăn gia đình, Họp nhóm, Ăn Fastfood","Thịt Gà, Gà rán, Hamburger, Cơm, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,
55,Lotteria - Quốc Lộ 1A,6.9,9.0,6.5,6.0,5.5,2,"32,000đ - 80,000đ",08:00 - 22:00,"Quốc Lộ 1A , Tp. Thủ Đức , TP. HCM",Linh Trung,Đại Học Kinh Tế Luật,Đối diện Đại Học Kinh Tế Luật,,60 người lớn,09:30 PM,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối",Món Hàn,Khoảng 3 - 5 phút,"Ăn gia đình, Hẹn hò, Họp nhóm","Thịt Gà, Gà rán, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,
56,Lotteria - Coop Mart Huỳnh Tấn Phát,3.8,4.2,4.0,3.3,3.2,9,"30,000đ - 100,000đ",08:30 - 21:30,"Tầng Trệt Coopmart, 1362 Huỳnh Tấn Phát, P. Phú Mỹ , Quận 7 , TP. HCM",Phú Mỹ Hưng,Coop Mart Huỳnh Tấn Phát,Nằm ở tầng trệt siêu thị Coop Mart Huỳnh Tấn Phát.,,50 người lớn,21:45,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối",,Khoảng 7 - 10 phút,"Họp nhóm, Takeaway - Mang về","Thịt Gà, Gà rán, Hamburger, Thịt Bò, Ăn vặt - Ăn nhẹ, Nem, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,
57,Lotteria - Vạn Hạnh Mall,7.4,7.8,7.4,7.4,6.9,14,"3,000đ - 120,000đ",09:00 - 22:00,"Tầng Hầm 1, Tầng Hầm 1 - B4 Vạn Hạnh Mall, 11 Sư Vạn Hạnh, P. 12 , Quận 10 , TP. HCM",Siêu thị Sài Gòn,Vạn Hạnh Mall,Nằm trong Tầng B1 Vạn Hạnh Mall,,50 người lớn,,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối","Món Á, Món Hàn",Khoảng 5 - 10 phút,"Ăn gia đình, Họp nhóm, Giao tận nơi, Takeaway - Mang về","Thịt Gà, Gà rán, Hamburger, Ăn vặt - Ăn nhẹ, Nem, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,
58,Lotteria - Nguyễn Văn Quá,7.2,8.5,7.3,6.8,6.0,4,"5,000đ - 300,000đ",07:00 - 22:00,"867A Nguyễn Văn Quá, P. Đông Hưng Thuận , Quận 12 , TP. HCM",CV Phần Mềm Quang Trung,Cầu Chợ Cầu 2,Cách Cầu Chợ Cầu 2 khoảng 30m hướng về Trường Tiểu Học Nguyễn Du,,40 người lớn,,Quán ăn,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối","Món Á, Món Hàn",Khoảng 5 - 10 phút,"Ăn gia đình, Hẹn hò, Họp nhóm, Giao tận nơi, Takeaway - Mang về","Thịt Gà, Gà rán, Hamburger, Ăn vặt - Ăn nhẹ, Nem, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,
59,Lotteria - Vĩnh Lộc,7.6,8.0,8.0,7.0,7.0,1,"10,000đ - 500,000đ",08:00 - 22:00,"D19/16C Vĩnh Lộc B , Huyện Bình Chánh , TP. HCM",Võ Văn Vân,Ngã 3 Võ Văn Vân - Vĩnh Lộc,Cách Ngã 3 Võ Văn Vân - Vĩnh Lộc khoảng 230m hướng về Rạch Cầu Suối,,50 người lớn,,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối","Món Á, Món Hàn",Khoảng 5 - 10 phút,"Ăn gia đình, Hẹn hò, Họp nhóm, Giao tận nơi, Takeaway - Mang về","Thịt Gà, Gà rán, Hamburger, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,
60,Lotteria - Hoàng Diệu,6.0,6.8,5.7,5.5,5.5,11,"5,000đ - 300,000đ",09:00 - 21:00,"102 Lê Quốc Hưng, P. 12 , Quận 4 , TP. HCM",Xóm Chiếu,Ngã 4 Hoàng Diệu - Lê Quốc Hưng,Gần ngã 4 Hoàng Diệu - Lê Quốc Hưng,,40 người lớn,,Quán ăn,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối",Món Việt,Khoảng 5 - 10 phút,"Ăn gia đình, Họp nhóm, Takeaway - Mang về","Thịt Gà, Gà rán, Hamburger, Ăn vặt - Ăn nhẹ, Cơm, Thức uống, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,
61,Lotteria - Gigamall,4.4,5.0,4.5,4.5,3.5,4,"20,000đ - 200,000đ",09:00 - 22:00,"Tầng Trệt, Tầng Trệt Giga Mall, 240 Phạm Văn Đồng, P. Hiệp Bình Chánh , Tp. Thủ Đức , TP. HCM",Bình Triệu,Giga Mall,Tầng Trệt Giga Mall,,50 người lớn,,Quán ăn,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối","Món Á, Món Hàn",Khoảng 7 - 10 phút,"Ăn gia đình, Họp nhóm, Tiếp khách, Ăn vặt, Takeaway - Mang về","Thịt Gà, Hamburger, Gà ác/gà hầm, Ăn vặt - Ăn nhẹ, Cơm, Thức uống, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,
62,Lotteria - Vincom Nam Long,9.6,10.0,10.0,9.0,9.0,1,"20,000đ - 50,000đ",09:00 - 22:00,"71 Trần Trọng Cung, P. Tân Thuận Đông , Quận 7 , TP. HCM",Tân Thuận,,,,50 người lớn,,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối","Món Á, Món Hàn",Khoảng 7 - 10 phút,"Ăn gia đình, Họp nhóm, Takeaway - Mang về","Thịt Gà, Gà rán, Hamburger, Ăn vặt - Ăn nhẹ, Thức uống, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,
63,Lotteria - Newcity,10.0,10.0,10.0,10.0,10.0,1,"20,000đ - 300,000đ",10:00 - 21:30,"17 Mai Chí Thọ, P. Bình Khánh , Tp. Thủ Đức , TP. HCM",Thảo Điền,,,,50 người lớn,,Quán ăn,"Buổi trưa, Buổi xế, Buổi tối",Món Việt,Khoảng 3 - 5 phút,"Ăn gia đình, Takeaway - Mang về","Thịt Gà, Gà rán, Hamburger, Thịt Bò, Bánh - Kẹo, Ăn vặt - Ăn nhẹ, Cơm, Nem, Thức uống, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,
64,Lotteria - An Phú,7.0,7.0,7.0,7.0,7.0,1,"18,000đ - 310,000đ",09:00 - 23:00,"2 Song Hành, P. An Phú , Tp. Thủ Đức , TP. HCM",An Phú,,,,50 người lớn,,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối","Món Á, Món Hàn",Khoảng 7 - 10 phút,"Ăn gia đình, Họp nhóm, Takeaway - Mang về","Thịt Gà, Gà rán, Hamburger, Thịt Bò, Món nước, Ăn vặt - Ăn nhẹ, Cơm, Xúc xích, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,
65,Lotteria - Lê Quang Định,4.5,6.0,4.3,3.3,3.3,6,"18,000đ - 310,000đ",08:30 - 22:00,"346B Lê Quang Định, P. 11 , Quận Bình Thạnh , TP. HCM",Ngã 5 Bình Hòa,,,,50 người lớn,,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối","Món Á, Món Hàn",Khoảng 7 - 10 phút,"Ăn gia đình, Họp nhóm, Takeaway - Mang về","Thịt Gà, Gà rán, Hamburger, Ăn vặt - Ăn nhẹ, Cơm, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,
66,Lotteria - Tỉnh Lộ 10,,,,,,,"18,000đ - 310,000đ",09:00 - 23:00,"1271 Tỉnh Lộ 10, P. Tân Tạo , Quận Bình Tân , TP. HCM",KCN Tân Tạo,,,,50 người lớn,,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối","Món Á, Món Hàn",Khoảng 5 - 10 phút,"Ăn gia đình, Họp nhóm, Takeaway - Mang về","Thịt Gà, Gà rán, Trà, Hamburger, Ăn vặt - Ăn nhẹ, Cơm, Thức uống, Xúc xích, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,
67,Lotteria - Big C Cityland,4.5,4.8,4.5,4.5,4.0,4,"30,000đ - 100,000đ",09:00 - 23:00,"99 Nguyễn Thị Thập, P. Tân Phú , Quận 7 , TP. HCM",Cầu Phú Mỹ,,,,50 người lớn,,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối","Món Á, Món Hàn",Khoảng 5 - 10 phút,"Đãi tiệc, Ăn gia đình, Hẹn hò, Họp nhóm, Takeaway - Mang về","Thịt Gà, Gà rán, Hamburger, Thịt Bò, Món nước, Ăn vặt - Ăn nhẹ, Cơm, Nem, Thức uống, Xúc xích, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,
68,Lotteria - Phú Mỹ Hưng 1,8.2,10.0,10.0,10.0,1.0,1,"18,000đ - 310,000đ",08:00 - 22:00,"Khu Sky Garden 1-R1-1, 76 Phạm Văn Nghị, P. Tân Phong , Quận 7 , TP. HCM",Phú Mỹ Hưng,,,,30 người lớn,,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối","Món Á, Món Hàn",Khoảng 7 - 10 phút,"Ăn gia đình, Họp nhóm, Takeaway - Mang về","Thịt Gà, Gà rán, Hamburger, Cơm, Xúc xích, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,
69,Lotteria - Tô Ký,,,,,,,"18,000đ - 310,000đ",07:30 - 22:00,"4C Tô Ký, P. Tân Chánh Hiệp , Quận 12 , TP. HCM",Nguyễn Ảnh Thủ,,,,50 người lớn,,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối","Món Á, Món Hàn",Khoảng 5 - 10 phút,"Ăn gia đình, Họp nhóm, Tiếp khách, Giao tận nơi, Ăn vặt, Takeaway - Mang về, Ăn Fastfood","Thịt Gà, Gà rán, Hamburger, Ăn vặt - Ăn nhẹ",Các ngày lễ trong năm,
70,Lotteria - Joy City Thủ Đức,,,,,,,"5,000đ - 300,000đ",09:00 - 21:00,"L1-D1, Tầng 1 Tòa Nhà Joy City Point, Quốc Lộ 1A, P. Linh Trung , Tp. Thủ Đức , TP. HCM",Linh Trung,KCX Linh Trung 1,,,50 người lớn,,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối","Món Á, Món Hàn",Khoảng 7 - 10 phút,"Ăn gia đình, Họp nhóm, Takeaway - Mang về, Ăn Fastfood","Thịt Gà, Gà rán, Pizza & Pasta, Ăn vặt - Ăn nhẹ, Nem, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,
71,Lotteria - Phạm Văn Chiêu,10.0,10.0,10.0,10.0,10.0,1,"5,000đ - 300,000đ",07:30 - 22:00,"65 Phạm Văn Chiêu, P. 14 , Quận Gò Vấp , TP. HCM",,,,,,,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối",,,,"Gà rán, Hamburger, Cơm văn phòng, Cơm, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,
72,Lotteria - Memas Mall Saigon Airport,,,,,,,"40,000đ - 150,000đ",09:30 - 22:00,"Menas Mall Saigon Airport, Tầng 5, 60A Trường Sơn, P. 2 , Quận Tân Bình , TP. HCM",,,,,,,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối",,,,"Gà rán, Hamburger, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,
73,Lotteria - Lottemart Ba Tháng Hai,,,,,,,"30,000đ - 300,000đ",08:00 - 21:00,"Siêu Thị Lotte Mart Ba Tháng Hai, Tầng Trệt, 940B Đường 3/2, P. 15 , Quận 11 , TP. HCM",,,,,,,"Sang trọng, Quán ăn","Buổi sáng, Buổi trưa, Buổi xế, Buổi tối",,,,"Gà rán, Hamburger, Cơm, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,
74,Lotteria - Quốc lộ 13 - Vạn Phúc City,,,,,,,"30,000đ - 300,000đ",08:00 - 21:30,"375 Quốc Lộ 13 (Vạn Phúc City), Khu Phố 5, P. Hiệp Bình Phước , Tp. Thủ Đức , TP. HCM",,,,,,,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối",,,,"Gà rán, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,
75,Lotteria - Vincom Landmark 81,,,,,,,"30,000đ - 88,000đ",08:00 - 22:00,"Tầng B1 - 10A, Vincom Landmark 81, 772 Điện Biên Phủ, P. 22 , Quận Bình Thạnh , TP. HCM",,,,,,,Nhà hàng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối",,,,"Gà rán, Hamburger, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,
76,Lotteria - Nguyễn Thị Kiểu,,,,,,,"30,000đ - 88,000đ",08:30 - 21:00,"229 Nguyễn Thị Kiểu, P. Tân Thới Hiệp , Quận 12 , TP. HCM",,,,,,,Sang trọng,"Buổi sáng, Buổi trưa, Buổi xế, Buổi tối",,,,"Gà rán, Xúc xích, Fastfood - Thức ăn nhanh",Các ngày lễ trong năm,
